# drivers,s,e,r,u
2,0.4,0.05,0.2,0.05
2,0.4,0.05,0.2,0.15
2,0.4,0.05,0.2,0.25
2,0.4,0.05,0.2,0.35
2,0.4,0.05,0.2,0.45
2,0.4,0.05,0.2,0.55
2,0.4,0.05,0.3,0.05
2,0.4,0.05,0.3,0.15
2,0.4,0.05,0.3,0.25
2,0.4,0.05,0.3,0.35
2,0.4,0.05,0.3,0.45
2,0.4,0.05,0.3,0.55
2,0.4,0.05,0.4,0.05
2,0.4,0.05,0.4,0.15
2,0.4,0.05,0.4,0.25
2,0.4,0.05,0.4,0.35
2,0.4,0.05,0.4,0.45
2,0.4,0.05,0.4,0.55
2,0.4,0.05,0.5,0.05
2,0.4,0.05,0.5,0.15
2,0.4,0.05,0.5,0.25
2,0.4,0.05,0.5,0.35
2,0.4,0.05,0.5,0.45
2,0.4,0.05,0.5,0.55
2,0.4,0.05,0.6,0.05
2,0.4,0.05,0.6,0.15
2,0.4,0.05,0.6,0.25
2,0.4,0.05,0.6,0.35
2,0.4,0.05,0.6,0.45
2,0.4,0.05,0.6,0.55
2,0.4,0.05,0.7,0.05
2,0.4,0.05,0.7,0.15
2,0.4,0.05,0.7,0.25
2,0.4,0.05,0.7,0.35
2,0.4,0.05,0.7,0.45
2,0.4,0.05,0.7,0.55
2,0.4,0.05,0.8,0.05
2,0.4,0.05,0.8,0.15
2,0.4,0.05,0.8,0.25
2,0.4,0.05,0.8,0.35
2,0.4,0.05,0.8,0.45
2,0.4,0.05,0.8,0.55
2,0.4,0.15,0.2,0.25
2,0.4,0.15,0.2,0.35
2,0.4,0.15,0.2,0.45
2,0.4,0.15,0.2,0.55
2,0.4,0.15,0.3,0.25
2,0.4,0.15,0.3,0.35
2,0.4,0.15,0.3,0.45
2,0.4,0.15,0.3,0.55
2,0.4,0.15,0.4,0.25
2,0.4,0.15,0.4,0.35
2,0.4,0.15,0.4,0.45
2,0.4,0.15,0.4,0.55
2,0.4,0.15,0.5,0.25
2,0.4,0.15,0.5,0.35
2,0.4,0.15,0.5,0.45
2,0.4,0.15,0.5,0.55
2,0.4,0.15,0.6,0.25
2,0.4,0.15,0.6,0.35
2,0.4,0.15,0.6,0.45
2,0.4,0.15,0.6,0.55
2,0.4,0.15,0.7,0.05
2,0.4,0.15,0.7,0.15
2,0.4,0.15,0.7,0.25
2,0.4,0.15,0.7,0.35
2,0.4,0.15,0.7,0.45
2,0.4,0.15,0.7,0.55
2,0.4,0.15,0.8,0.05
2,0.4,0.15,0.8,0.15
2,0.4,0.15,0.8,0.25
2,0.4,0.15,0.8,0.35
2,0.4,0.15,0.8,0.45
2,0.4,0.15,0.8,0.55
2,0.4,0.25,0.2,0.25
2,0.4,0.25,0.2,0.35
2,0.4,0.25,0.2,0.45
2,0.4,0.25,0.2,0.55
2,0.4,0.25,0.3,0.25
2,0.4,0.25,0.3,0.35
2,0.4,0.25,0.3,0.45
2,0.4,0.25,0.3,0.55
2,0.4,0.25,0.4,0.25
2,0.4,0.25,0.4,0.35
2,0.4,0.25,0.4,0.45
2,0.4,0.25,0.4,0.55
2,0.4,0.25,0.5,0.25
2,0.4,0.25,0.5,0.35
2,0.4,0.25,0.5,0.45
2,0.4,0.25,0.5,0.55
2,0.4,0.25,0.6,0.25
2,0.4,0.25,0.6,0.35
2,0.4,0.25,0.6,0.45
2,0.4,0.25,0.6,0.55
2,0.4,0.25,0.7,0.05
2,0.4,0.25,0.7,0.15
2,0.4,0.25,0.7,0.25
2,0.4,0.25,0.7,0.35
2,0.4,0.25,0.7,0.45
2,0.4,0.25,0.7,0.55
2,0.4,0.25,0.8,0.05
2,0.4,0.25,0.8,0.15
2,0.4,0.25,0.8,0.25
2,0.4,0.25,0.8,0.35
2,0.4,0.25,0.8,0.45
2,0.4,0.25,0.8,0.55
2,0.4,0.35,0.2,0.25
2,0.4,0.35,0.2,0.35
2,0.4,0.35,0.2,0.45
2,0.4,0.35,0.2,0.55
2,0.4,0.35,0.3,0.25
2,0.4,0.35,0.3,0.35
2,0.4,0.35,0.3,0.45
2,0.4,0.35,0.3,0.55
2,0.4,0.35,0.4,0.25
2,0.4,0.35,0.4,0.35
2,0.4,0.35,0.4,0.45
2,0.4,0.35,0.4,0.55
2,0.4,0.35,0.5,0.25
2,0.4,0.35,0.5,0.35
2,0.4,0.35,0.5,0.45
2,0.4,0.35,0.5,0.55
2,0.4,0.35,0.6,0.25
2,0.4,0.35,0.6,0.35
2,0.4,0.35,0.6,0.45
2,0.4,0.35,0.6,0.55
2,0.4,0.35,0.7,0.05
2,0.4,0.35,0.7,0.15
2,0.4,0.35,0.7,0.25
2,0.4,0.35,0.7,0.35
2,0.4,0.35,0.7,0.45
2,0.4,0.35,0.7,0.55
2,0.4,0.35,0.8,0.05
2,0.4,0.35,0.8,0.15
2,0.4,0.35,0.8,0.25
2,0.4,0.35,0.8,0.35
2,0.4,0.35,0.8,0.45
2,0.4,0.35,0.8,0.55
2,0.4,0.45,0.2,0.15
2,0.4,0.45,0.2,0.25
2,0.4,0.45,0.2,0.35
2,0.4,0.45,0.2,0.45
2,0.4,0.45,0.2,0.55
2,0.4,0.45,0.3,0.15
2,0.4,0.45,0.3,0.25
2,0.4,0.45,0.3,0.35
2,0.4,0.45,0.3,0.45
2,0.4,0.45,0.3,0.55
2,0.4,0.45,0.4,0.05
2,0.4,0.45,0.4,0.15
2,0.4,0.45,0.4,0.25
2,0.4,0.45,0.4,0.35
2,0.4,0.45,0.4,0.45
2,0.4,0.45,0.4,0.55
2,0.4,0.45,0.5,0.05
2,0.4,0.45,0.5,0.15
2,0.4,0.45,0.5,0.25
2,0.4,0.45,0.5,0.35
2,0.4,0.45,0.5,0.45
2,0.4,0.45,0.5,0.55
2,0.4,0.45,0.6,0.05
2,0.4,0.45,0.6,0.15
2,0.4,0.45,0.6,0.25
2,0.4,0.45,0.6,0.35
2,0.4,0.45,0.6,0.45
2,0.4,0.45,0.6,0.55
2,0.4,0.45,0.7,0.05
2,0.4,0.45,0.7,0.15
2,0.4,0.45,0.7,0.25
2,0.4,0.45,0.7,0.35
2,0.4,0.45,0.7,0.45
2,0.4,0.45,0.7,0.55
2,0.4,0.45,0.8,0.05
2,0.4,0.45,0.8,0.15
2,0.4,0.45,0.8,0.25
2,0.4,0.45,0.8,0.35
2,0.4,0.45,0.8,0.45
2,0.4,0.45,0.8,0.55
2,0.5,0.05,0.2,0.05
2,0.5,0.05,0.2,0.15
2,0.5,0.05,0.2,0.25
2,0.5,0.05,0.2,0.35
2,0.5,0.05,0.2,0.45
2,0.5,0.05,0.2,0.55
2,0.5,0.05,0.3,0.15
2,0.5,0.05,0.3,0.25
2,0.5,0.05,0.3,0.35
2,0.5,0.05,0.3,0.45
2,0.5,0.05,0.3,0.55
2,0.5,0.05,0.4,0.05
2,0.5,0.05,0.4,0.15
2,0.5,0.05,0.4,0.25
2,0.5,0.05,0.4,0.35
2,0.5,0.05,0.4,0.45
2,0.5,0.05,0.4,0.55
2,0.5,0.05,0.5,0.05
2,0.5,0.05,0.5,0.15
2,0.5,0.05,0.5,0.25
2,0.5,0.05,0.5,0.35
2,0.5,0.05,0.5,0.45
2,0.5,0.05,0.5,0.55
2,0.5,0.05,0.6,0.05
2,0.5,0.05,0.6,0.15
2,0.5,0.05,0.6,0.25
2,0.5,0.05,0.6,0.35
2,0.5,0.05,0.6,0.45
2,0.5,0.05,0.6,0.55
2,0.5,0.05,0.7,0.05
2,0.5,0.05,0.7,0.15
2,0.5,0.05,0.7,0.25
2,0.5,0.05,0.7,0.35
2,0.5,0.05,0.7,0.45
2,0.5,0.05,0.7,0.55
2,0.5,0.05,0.8,0.05
2,0.5,0.05,0.8,0.15
2,0.5,0.05,0.8,0.25
2,0.5,0.05,0.8,0.35
2,0.5,0.05,0.8,0.45
2,0.5,0.05,0.8,0.55
2,0.5,0.15,0.2,0.25
2,0.5,0.15,0.2,0.35
2,0.5,0.15,0.2,0.45
2,0.5,0.15,0.2,0.55
2,0.5,0.15,0.3,0.35
2,0.5,0.15,0.3,0.45
2,0.5,0.15,0.3,0.55
2,0.5,0.15,0.4,0.35
2,0.5,0.15,0.4,0.45
2,0.5,0.15,0.4,0.55
2,0.5,0.15,0.5,0.35
2,0.5,0.15,0.5,0.45
2,0.5,0.15,0.5,0.55
2,0.5,0.15,0.6,0.25
2,0.5,0.15,0.6,0.35
2,0.5,0.15,0.6,0.45
2,0.5,0.15,0.6,0.55
2,0.5,0.15,0.7,0.05
2,0.5,0.15,0.7,0.15
2,0.5,0.15,0.7,0.25
2,0.5,0.15,0.7,0.35
2,0.5,0.15,0.7,0.45
2,0.5,0.15,0.7,0.55
2,0.5,0.15,0.8,0.05
2,0.5,0.15,0.8,0.15
2,0.5,0.15,0.8,0.25
2,0.5,0.15,0.8,0.35
2,0.5,0.15,0.8,0.45
2,0.5,0.15,0.8,0.55
2,0.5,0.25,0.2,0.25
2,0.5,0.25,0.2,0.35
2,0.5,0.25,0.2,0.45
2,0.5,0.25,0.2,0.55
2,0.5,0.25,0.3,0.25
2,0.5,0.25,0.3,0.35
2,0.5,0.25,0.3,0.45
2,0.5,0.25,0.3,0.55
2,0.5,0.25,0.4,0.25
2,0.5,0.25,0.4,0.35
2,0.5,0.25,0.4,0.45
2,0.5,0.25,0.4,0.55
2,0.5,0.25,0.5,0.25
2,0.5,0.25,0.5,0.35
2,0.5,0.25,0.5,0.45
2,0.5,0.25,0.5,0.55
2,0.5,0.25,0.6,0.25
2,0.5,0.25,0.6,0.35
2,0.5,0.25,0.6,0.45
2,0.5,0.25,0.6,0.55
2,0.5,0.25,0.7,0.05
2,0.5,0.25,0.7,0.15
2,0.5,0.25,0.7,0.25
2,0.5,0.25,0.7,0.35
2,0.5,0.25,0.7,0.45
2,0.5,0.25,0.7,0.55
2,0.5,0.25,0.8,0.05
2,0.5,0.25,0.8,0.15
2,0.5,0.25,0.8,0.25
2,0.5,0.25,0.8,0.35
2,0.5,0.25,0.8,0.45
2,0.5,0.25,0.8,0.55
2,0.5,0.35,0.2,0.25
2,0.5,0.35,0.2,0.35
2,0.5,0.35,0.2,0.45
2,0.5,0.35,0.2,0.55
2,0.5,0.35,0.3,0.25
2,0.5,0.35,0.3,0.35
2,0.5,0.35,0.3,0.45
2,0.5,0.35,0.3,0.55
2,0.5,0.35,0.4,0.25
2,0.5,0.35,0.4,0.35
2,0.5,0.35,0.4,0.45
2,0.5,0.35,0.4,0.55
2,0.5,0.35,0.5,0.25
2,0.5,0.35,0.5,0.35
2,0.5,0.35,0.5,0.45
2,0.5,0.35,0.5,0.55
2,0.5,0.35,0.6,0.25
2,0.5,0.35,0.6,0.35
2,0.5,0.35,0.6,0.45
2,0.5,0.35,0.6,0.55
2,0.5,0.35,0.7,0.05
2,0.5,0.35,0.7,0.15
2,0.5,0.35,0.7,0.25
2,0.5,0.35,0.7,0.35
2,0.5,0.35,0.7,0.45
2,0.5,0.35,0.7,0.55
2,0.5,0.35,0.8,0.05
2,0.5,0.35,0.8,0.15
2,0.5,0.35,0.8,0.25
2,0.5,0.35,0.8,0.35
2,0.5,0.35,0.8,0.45
2,0.5,0.35,0.8,0.55
2,0.5,0.45,0.2,0.15
2,0.5,0.45,0.2,0.25
2,0.5,0.45,0.2,0.35
2,0.5,0.45,0.2,0.45
2,0.5,0.45,0.2,0.55
2,0.5,0.45,0.3,0.15
2,0.5,0.45,0.3,0.25
2,0.5,0.45,0.3,0.35
2,0.5,0.45,0.3,0.45
2,0.5,0.45,0.3,0.55
2,0.5,0.45,0.4,0.05
2,0.5,0.45,0.4,0.15
2,0.5,0.45,0.4,0.25
2,0.5,0.45,0.4,0.35
2,0.5,0.45,0.4,0.45
2,0.5,0.45,0.4,0.55
2,0.5,0.45,0.5,0.05
2,0.5,0.45,0.5,0.15
2,0.5,0.45,0.5,0.25
2,0.5,0.45,0.5,0.35
2,0.5,0.45,0.5,0.45
2,0.5,0.45,0.5,0.55
2,0.5,0.45,0.6,0.05
2,0.5,0.45,0.6,0.15
2,0.5,0.45,0.6,0.25
2,0.5,0.45,0.6,0.35
2,0.5,0.45,0.6,0.45
2,0.5,0.45,0.6,0.55
2,0.5,0.45,0.7,0.05
2,0.5,0.45,0.7,0.15
2,0.5,0.45,0.7,0.25
2,0.5,0.45,0.7,0.35
2,0.5,0.45,0.7,0.45
2,0.5,0.45,0.7,0.55
2,0.5,0.45,0.8,0.05
2,0.5,0.45,0.8,0.15
2,0.5,0.45,0.8,0.25
2,0.5,0.45,0.8,0.35
2,0.5,0.45,0.8,0.45
2,0.5,0.45,0.8,0.55
2,0.6,0.05,0.2,0.05
2,0.6,0.05,0.2,0.15
2,0.6,0.05,0.2,0.25
2,0.6,0.05,0.2,0.35
2,0.6,0.05,0.2,0.45
2,0.6,0.05,0.2,0.55
2,0.6,0.05,0.3,0.05
2,0.6,0.05,0.3,0.15
2,0.6,0.05,0.3,0.25
2,0.6,0.05,0.3,0.35
2,0.6,0.05,0.3,0.45
2,0.6,0.05,0.3,0.55
2,0.6,0.05,0.4,0.05
2,0.6,0.05,0.4,0.15
2,0.6,0.05,0.4,0.25
2,0.6,0.05,0.4,0.35
2,0.6,0.05,0.4,0.45
2,0.6,0.05,0.4,0.55
2,0.6,0.05,0.5,0.05
2,0.6,0.05,0.5,0.15
2,0.6,0.05,0.5,0.25
2,0.6,0.05,0.5,0.35
2,0.6,0.05,0.5,0.45
2,0.6,0.05,0.5,0.55
2,0.6,0.05,0.6,0.05
2,0.6,0.05,0.6,0.15
2,0.6,0.05,0.6,0.25
2,0.6,0.05,0.6,0.35
2,0.6,0.05,0.6,0.45
2,0.6,0.05,0.6,0.55
2,0.6,0.05,0.7,0.05
2,0.6,0.05,0.7,0.15
2,0.6,0.05,0.7,0.25
2,0.6,0.05,0.7,0.35
2,0.6,0.05,0.7,0.45
2,0.6,0.05,0.7,0.55
2,0.6,0.05,0.8,0.05
2,0.6,0.05,0.8,0.15
2,0.6,0.05,0.8,0.25
2,0.6,0.05,0.8,0.35
2,0.6,0.05,0.8,0.45
2,0.6,0.05,0.8,0.55
2,0.6,0.15,0.2,0.25
2,0.6,0.15,0.2,0.35
2,0.6,0.15,0.2,0.45
2,0.6,0.15,0.2,0.55
2,0.6,0.15,0.3,0.35
2,0.6,0.15,0.3,0.45
2,0.6,0.15,0.3,0.55
2,0.6,0.15,0.4,0.35
2,0.6,0.15,0.4,0.45
2,0.6,0.15,0.4,0.55
2,0.6,0.15,0.5,0.35
2,0.6,0.15,0.5,0.45
2,0.6,0.15,0.5,0.55
2,0.6,0.15,0.6,0.25
2,0.6,0.15,0.6,0.35
2,0.6,0.15,0.6,0.45
2,0.6,0.15,0.6,0.55
2,0.6,0.15,0.7,0.05
2,0.6,0.15,0.7,0.15
2,0.6,0.15,0.7,0.25
2,0.6,0.15,0.7,0.35
2,0.6,0.15,0.7,0.45
2,0.6,0.15,0.7,0.55
2,0.6,0.15,0.8,0.05
2,0.6,0.15,0.8,0.15
2,0.6,0.15,0.8,0.25
2,0.6,0.15,0.8,0.35
2,0.6,0.15,0.8,0.45
2,0.6,0.15,0.8,0.55
2,0.6,0.25,0.2,0.25
2,0.6,0.25,0.2,0.35
2,0.6,0.25,0.2,0.45
2,0.6,0.25,0.2,0.55
2,0.6,0.25,0.3,0.25
2,0.6,0.25,0.3,0.35
2,0.6,0.25,0.3,0.45
2,0.6,0.25,0.3,0.55
2,0.6,0.25,0.4,0.25
2,0.6,0.25,0.4,0.35
2,0.6,0.25,0.4,0.45
2,0.6,0.25,0.4,0.55
2,0.6,0.25,0.5,0.25
2,0.6,0.25,0.5,0.35
2,0.6,0.25,0.5,0.45
2,0.6,0.25,0.5,0.55
2,0.6,0.25,0.6,0.25
2,0.6,0.25,0.6,0.35
2,0.6,0.25,0.6,0.45
2,0.6,0.25,0.6,0.55
2,0.6,0.25,0.7,0.05
2,0.6,0.25,0.7,0.15
2,0.6,0.25,0.7,0.25
2,0.6,0.25,0.7,0.35
2,0.6,0.25,0.7,0.45
2,0.6,0.25,0.7,0.55
2,0.6,0.25,0.8,0.05
2,0.6,0.25,0.8,0.15
2,0.6,0.25,0.8,0.25
2,0.6,0.25,0.8,0.35
2,0.6,0.25,0.8,0.45
2,0.6,0.25,0.8,0.55
2,0.6,0.35,0.2,0.25
2,0.6,0.35,0.2,0.35
2,0.6,0.35,0.2,0.45
2,0.6,0.35,0.2,0.55
2,0.6,0.35,0.3,0.25
2,0.6,0.35,0.3,0.35
2,0.6,0.35,0.3,0.45
2,0.6,0.35,0.3,0.55
2,0.6,0.35,0.4,0.25
2,0.6,0.35,0.4,0.35
2,0.6,0.35,0.4,0.45
2,0.6,0.35,0.4,0.55
2,0.6,0.35,0.5,0.25
2,0.6,0.35,0.5,0.35
2,0.6,0.35,0.5,0.45
2,0.6,0.35,0.5,0.55
2,0.6,0.35,0.6,0.25
2,0.6,0.35,0.6,0.35
2,0.6,0.35,0.6,0.45
2,0.6,0.35,0.6,0.55
2,0.6,0.35,0.7,0.05
2,0.6,0.35,0.7,0.15
2,0.6,0.35,0.7,0.25
2,0.6,0.35,0.7,0.35
2,0.6,0.35,0.7,0.45
2,0.6,0.35,0.7,0.55
2,0.6,0.35,0.8,0.05
2,0.6,0.35,0.8,0.15
2,0.6,0.35,0.8,0.25
2,0.6,0.35,0.8,0.35
2,0.6,0.35,0.8,0.45
2,0.6,0.35,0.8,0.55
2,0.6,0.45,0.2,0.25
2,0.6,0.45,0.2,0.35
2,0.6,0.45,0.2,0.45
2,0.6,0.45,0.2,0.55
2,0.6,0.45,0.3,0.25
2,0.6,0.45,0.3,0.35
2,0.6,0.45,0.3,0.45
2,0.6,0.45,0.3,0.55
2,0.6,0.45,0.4,0.25
2,0.6,0.45,0.4,0.35
2,0.6,0.45,0.4,0.45
2,0.6,0.45,0.4,0.55
2,0.6,0.45,0.5,0.25
2,0.6,0.45,0.5,0.35
2,0.6,0.45,0.5,0.45
2,0.6,0.45,0.5,0.55
2,0.6,0.45,0.6,0.25
2,0.6,0.45,0.6,0.35
2,0.6,0.45,0.6,0.45
2,0.6,0.45,0.6,0.55
2,0.6,0.45,0.7,0.05
2,0.6,0.45,0.7,0.15
2,0.6,0.45,0.7,0.25
2,0.6,0.45,0.7,0.35
2,0.6,0.45,0.7,0.45
2,0.6,0.45,0.7,0.55
2,0.6,0.45,0.8,0.05
2,0.6,0.45,0.8,0.15
2,0.6,0.45,0.8,0.25
2,0.6,0.45,0.8,0.35
2,0.6,0.45,0.8,0.45
2,0.6,0.45,0.8,0.55
2,0.7,0.05,0.2,0.05
2,0.7,0.05,0.2,0.15
2,0.7,0.05,0.2,0.25
2,0.7,0.05,0.2,0.35
2,0.7,0.05,0.2,0.45
2,0.7,0.05,0.2,0.55
2,0.7,0.05,0.3,0.05
2,0.7,0.05,0.3,0.15
2,0.7,0.05,0.3,0.25
2,0.7,0.05,0.3,0.35
2,0.7,0.05,0.3,0.45
2,0.7,0.05,0.3,0.55
2,0.7,0.05,0.4,0.05
2,0.7,0.05,0.4,0.15
2,0.7,0.05,0.4,0.25
2,0.7,0.05,0.4,0.35
2,0.7,0.05,0.4,0.45
2,0.7,0.05,0.4,0.55
2,0.7,0.05,0.5,0.05
2,0.7,0.05,0.5,0.15
2,0.7,0.05,0.5,0.25
2,0.7,0.05,0.5,0.35
2,0.7,0.05,0.5,0.45
2,0.7,0.05,0.5,0.55
2,0.7,0.05,0.6,0.05
2,0.7,0.05,0.6,0.15
2,0.7,0.05,0.6,0.25
2,0.7,0.05,0.6,0.35
2,0.7,0.05,0.6,0.45
2,0.7,0.05,0.6,0.55
2,0.7,0.05,0.7,0.05
2,0.7,0.05,0.7,0.15
2,0.7,0.05,0.7,0.25
2,0.7,0.05,0.7,0.35
2,0.7,0.05,0.7,0.45
2,0.7,0.05,0.7,0.55
2,0.7,0.05,0.8,0.05
2,0.7,0.05,0.8,0.15
2,0.7,0.05,0.8,0.25
2,0.7,0.05,0.8,0.35
2,0.7,0.05,0.8,0.45
2,0.7,0.05,0.8,0.55
2,0.7,0.15,0.2,0.25
2,0.7,0.15,0.2,0.35
2,0.7,0.15,0.2,0.45
2,0.7,0.15,0.2,0.55
2,0.7,0.15,0.3,0.25
2,0.7,0.15,0.3,0.35
2,0.7,0.15,0.3,0.45
2,0.7,0.15,0.3,0.55
2,0.7,0.15,0.4,0.25
2,0.7,0.15,0.4,0.35
2,0.7,0.15,0.4,0.45
2,0.7,0.15,0.4,0.55
2,0.7,0.15,0.5,0.25
2,0.7,0.15,0.5,0.35
2,0.7,0.15,0.5,0.45
2,0.7,0.15,0.5,0.55
2,0.7,0.15,0.6,0.25
2,0.7,0.15,0.6,0.35
2,0.7,0.15,0.6,0.45
2,0.7,0.15,0.6,0.55
2,0.7,0.15,0.7,0.05
2,0.7,0.15,0.7,0.15
2,0.7,0.15,0.7,0.25
2,0.7,0.15,0.7,0.35
2,0.7,0.15,0.7,0.45
2,0.7,0.15,0.7,0.55
2,0.7,0.15,0.8,0.05
2,0.7,0.15,0.8,0.15
2,0.7,0.15,0.8,0.25
2,0.7,0.15,0.8,0.35
2,0.7,0.15,0.8,0.45
2,0.7,0.15,0.8,0.55
2,0.7,0.25,0.2,0.05
2,0.7,0.25,0.2,0.15
2,0.7,0.25,0.2,0.25
2,0.7,0.25,0.2,0.35
2,0.7,0.25,0.2,0.45
2,0.7,0.25,0.2,0.55
2,0.7,0.25,0.3,0.05
2,0.7,0.25,0.3,0.15
2,0.7,0.25,0.3,0.25
2,0.7,0.25,0.3,0.35
2,0.7,0.25,0.3,0.45
2,0.7,0.25,0.3,0.55
2,0.7,0.25,0.4,0.05
2,0.7,0.25,0.4,0.15
2,0.7,0.25,0.4,0.25
2,0.7,0.25,0.4,0.35
2,0.7,0.25,0.4,0.45
2,0.7,0.25,0.4,0.55
2,0.7,0.25,0.5,0.05
2,0.7,0.25,0.5,0.15
2,0.7,0.25,0.5,0.25
2,0.7,0.25,0.5,0.35
2,0.7,0.25,0.5,0.45
2,0.7,0.25,0.5,0.55
2,0.7,0.25,0.6,0.05
2,0.7,0.25,0.6,0.15
2,0.7,0.25,0.6,0.25
2,0.7,0.25,0.6,0.35
2,0.7,0.25,0.6,0.45
2,0.7,0.25,0.6,0.55
2,0.7,0.25,0.7,0.05
2,0.7,0.25,0.7,0.15
2,0.7,0.25,0.7,0.25
2,0.7,0.25,0.7,0.35
2,0.7,0.25,0.7,0.45
2,0.7,0.25,0.7,0.55
2,0.7,0.25,0.8,0.05
2,0.7,0.25,0.8,0.15
2,0.7,0.25,0.8,0.25
2,0.7,0.25,0.8,0.35
2,0.7,0.25,0.8,0.45
2,0.7,0.25,0.8,0.55
2,0.7,0.35,0.2,0.05
2,0.7,0.35,0.2,0.15
2,0.7,0.35,0.2,0.25
2,0.7,0.35,0.2,0.35
2,0.7,0.35,0.2,0.45
2,0.7,0.35,0.2,0.55
2,0.7,0.35,0.3,0.05
2,0.7,0.35,0.3,0.15
2,0.7,0.35,0.3,0.25
2,0.7,0.35,0.3,0.35
2,0.7,0.35,0.3,0.45
2,0.7,0.35,0.3,0.55
2,0.7,0.35,0.4,0.05
2,0.7,0.35,0.4,0.15
2,0.7,0.35,0.4,0.25
2,0.7,0.35,0.4,0.35
2,0.7,0.35,0.4,0.45
2,0.7,0.35,0.4,0.55
2,0.7,0.35,0.5,0.05
2,0.7,0.35,0.5,0.15
2,0.7,0.35,0.5,0.25
2,0.7,0.35,0.5,0.35
2,0.7,0.35,0.5,0.45
2,0.7,0.35,0.5,0.55
2,0.7,0.35,0.6,0.05
2,0.7,0.35,0.6,0.15
2,0.7,0.35,0.6,0.25
2,0.7,0.35,0.6,0.35
2,0.7,0.35,0.6,0.45
2,0.7,0.35,0.6,0.55
2,0.7,0.35,0.7,0.05
2,0.7,0.35,0.7,0.15
2,0.7,0.35,0.7,0.25
2,0.7,0.35,0.7,0.35
2,0.7,0.35,0.7,0.45
2,0.7,0.35,0.7,0.55
2,0.7,0.35,0.8,0.05
2,0.7,0.35,0.8,0.15
2,0.7,0.35,0.8,0.25
2,0.7,0.35,0.8,0.35
2,0.7,0.35,0.8,0.45
2,0.7,0.35,0.8,0.55
2,0.7,0.45,0.2,0.05
2,0.7,0.45,0.2,0.15
2,0.7,0.45,0.2,0.25
2,0.7,0.45,0.2,0.35
2,0.7,0.45,0.2,0.45
2,0.7,0.45,0.2,0.55
2,0.7,0.45,0.3,0.05
2,0.7,0.45,0.3,0.15
2,0.7,0.45,0.3,0.25
2,0.7,0.45,0.3,0.35
2,0.7,0.45,0.3,0.45
2,0.7,0.45,0.3,0.55
2,0.7,0.45,0.4,0.05
2,0.7,0.45,0.4,0.15
2,0.7,0.45,0.4,0.25
2,0.7,0.45,0.4,0.35
2,0.7,0.45,0.4,0.45
2,0.7,0.45,0.4,0.55
2,0.7,0.45,0.5,0.05
2,0.7,0.45,0.5,0.15
2,0.7,0.45,0.5,0.25
2,0.7,0.45,0.5,0.35
2,0.7,0.45,0.5,0.45
2,0.7,0.45,0.5,0.55
2,0.7,0.45,0.6,0.05
2,0.7,0.45,0.6,0.15
2,0.7,0.45,0.6,0.25
2,0.7,0.45,0.6,0.35
2,0.7,0.45,0.6,0.45
2,0.7,0.45,0.6,0.55
2,0.7,0.45,0.7,0.05
2,0.7,0.45,0.7,0.15
2,0.7,0.45,0.7,0.25
2,0.7,0.45,0.7,0.35
2,0.7,0.45,0.7,0.45
2,0.7,0.45,0.7,0.55
2,0.7,0.45,0.8,0.05
2,0.7,0.45,0.8,0.15
2,0.7,0.45,0.8,0.25
2,0.7,0.45,0.8,0.35
2,0.7,0.45,0.8,0.45
2,0.7,0.45,0.8,0.55
2,0.8,0.05,0.2,0.05
2,0.8,0.05,0.2,0.15
2,0.8,0.05,0.2,0.25
2,0.8,0.05,0.2,0.35
2,0.8,0.05,0.2,0.45
2,0.8,0.05,0.2,0.55
2,0.8,0.05,0.3,0.05
2,0.8,0.05,0.3,0.15
2,0.8,0.05,0.3,0.25
2,0.8,0.05,0.3,0.35
2,0.8,0.05,0.3,0.45
2,0.8,0.05,0.3,0.55
2,0.8,0.05,0.4,0.05
2,0.8,0.05,0.4,0.15
2,0.8,0.05,0.4,0.25
2,0.8,0.05,0.4,0.35
2,0.8,0.05,0.4,0.45
2,0.8,0.05,0.4,0.55
2,0.8,0.05,0.5,0.05
2,0.8,0.05,0.5,0.15
2,0.8,0.05,0.5,0.25
2,0.8,0.05,0.5,0.35
2,0.8,0.05,0.5,0.45
2,0.8,0.05,0.5,0.55
2,0.8,0.05,0.6,0.05
2,0.8,0.05,0.6,0.15
2,0.8,0.05,0.6,0.25
2,0.8,0.05,0.6,0.35
2,0.8,0.05,0.6,0.45
2,0.8,0.05,0.6,0.55
2,0.8,0.05,0.7,0.05
2,0.8,0.05,0.7,0.15
2,0.8,0.05,0.7,0.25
2,0.8,0.05,0.7,0.35
2,0.8,0.05,0.7,0.45
2,0.8,0.05,0.7,0.55
2,0.8,0.05,0.8,0.05
2,0.8,0.05,0.8,0.15
2,0.8,0.05,0.8,0.25
2,0.8,0.05,0.8,0.35
2,0.8,0.05,0.8,0.45
2,0.8,0.05,0.8,0.55
2,0.8,0.15,0.2,0.25
2,0.8,0.15,0.2,0.35
2,0.8,0.15,0.2,0.45
2,0.8,0.15,0.2,0.55
2,0.8,0.15,0.3,0.25
2,0.8,0.15,0.3,0.35
2,0.8,0.15,0.3,0.45
2,0.8,0.15,0.3,0.55
2,0.8,0.15,0.4,0.25
2,0.8,0.15,0.4,0.35
2,0.8,0.15,0.4,0.45
2,0.8,0.15,0.4,0.55
2,0.8,0.15,0.5,0.05
2,0.8,0.15,0.5,0.25
2,0.8,0.15,0.5,0.45
2,0.8,0.15,0.5,0.55
